estrategia,cluster,dias_puesto_1,dias_puesto_2,dias_puesto_3,dias_puesto_4,dias_puesto_5,total_dias
Trader no regulado,0,0,0,23,99,90,212
Integrado/regional regulado,1,76,129,7,0,0,212
Comercializador regulado,2,1,63,126,16,6,212
Trader expuesto a bolsa (sin cobertura),3,108,10,21,20,53,212
Trader con sobrecobertura de contratos,4,27,10,35,77,61,210
