fecha,codigo_agente,nombre_agente,segmento,estrategia,cluster,demanda_gwh_dia,pct_no_regulado,pct_cobertura_contratos,pct_exposicion_bolsa,pct_sicep,compra_regulado_1_0,margen_est_cop_kwh,costo_energia_est_cop_kwh
2026-01-01,EMSC,ELECTRIFICADORA DEL META S.A. E.S.P.,MEDIANO,Comercializador regulado,2,3.4317,7.88,86.8,13.41,84.35,1.0,-40.46,306.4
2026-01-01,ENBC,ENERBIT S.A.S. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.2857,7.52,110.85,0.37,100.0,1.0,-85.21,308.8
2026-01-01,ENDC,ENEL COLOMBIA SA ESP,GRANDE,Integrado/regional regulado,1,29.4925,23.51,96.56,5.62,90.99,1.0,-49.44,307.9
2026-01-01,ENIC,EMPRESA DE ENERGÍA DE ARAUCA E.S.P.,MEDIANO,Comercializador regulado,2,0.8415,0.0,60.35,39.65,14.18,1.0,-34.88,301.7
2026-01-01,EPMC,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,GRANDE,Integrado/regional regulado,1,25.3576,27.29,86.48,13.52,95.99,1.0,-39.62,306.4
2026-01-01,EPSC,CELSIA COLOMBIA S.A. E.S.P.,GRANDE,Integrado/regional regulado,1,9.8322,24.42,100.49,0.0,86.66,1.0,-43.95,308.8
2026-01-01,EPTC,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.2078,0.0,464.08,0.0,94.39,1.0,-500,308.8
2026-01-01,ESOC,EMPRESA DE SERVICIOS PÚBLICOS DEL OCCIDENTE COLOMBIANO,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,0.0159,0.0,0.0,100.0,0.0,0.0,-23.93,290.7
2026-01-01,ESSC,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,MEDIANO,Integrado/regional regulado,1,6.0305,0.0,70.51,29.49,94.57,1.0,-36.73,303.5
2026-01-01,ESVC,EMPRESA SIGLO XXI EICE ESP,PEQUEÑO,Comercializador regulado,2,0.0115,0.0,89.82,10.34,100.0,1.0,-40.81,307.0
2026-01-01,ETTC,ENERTOTAL S.A. E.S.P.,MEDIANO,Trader con sobrecobertura de contratos,4,0.8508,39.65,100.0,0.0,0.0,1.0,-42.08,308.8
2026-01-01,EVSC,EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.038,0.0,100.25,6.49,93.45,1.0,-66.83,307.7
2026-01-01,EXEC,ENEL X COLOMBIA S.A.S ESP,MEDIANO,Comercializador regulado,2,0.2973,0.0,193.56,0.0,100.0,1.0,-402.26,308.8
2026-01-01,EXIC,ENERXIA COLOMBIA SAS ESP,PEQUEÑO,Trader no regulado,0,0.2614,100.0,189.52,4.84,0.0,0.0,-404.46,308.4
2026-01-01,FERC,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.1377,100.0,974.69,0.0,0.0,0.0,-500,308.8
2026-01-01,FREC,FRANCA ENERGIA SA ESP,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.1804,100.0,125.11,0.0,0.0,0.0,-138.75,308.8
2026-01-01,GAPC,GAP ENERGY GROUP SAS ESP,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0072,100.0,2434.03,0.0,0.0,0.0,-500,308.8
2026-01-01,GECC,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,GRANDE,Trader no regulado,0,12.2738,100.0,72.37,27.63,0.0,0.0,-37.06,303.8
2026-01-01,GNCC,VATIA S.A. E.S.P.,MEDIANO,Comercializador regulado,2,3.1412,7.47,148.67,5.86,98.24,1.0,-250.91,308.2
2026-01-01,GNYC,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,PEQUEÑO,Trader no regulado,0,0.0653,100.0,680.85,37.28,0.0,0.0,-500,307.9
2026-01-01,GSAC,GENERSA S.A.S. E.S.P.,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,0.0006,100.0,0.0,100.0,0.0,0.0,-23.93,290.7
2026-01-01,HIMC,GESTION ENERGETICA S.A. E.S.P.,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,0.028,0.0,5.56,94.44,0.0,1.0,-24.94,291.7
2026-01-01,HLAC,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,MEDIANO,Comercializador regulado,2,2.4133,13.93,95.52,6.37,89.7,1.0,-48.2,307.7
2026-01-01,ISGC,ISAGEN S.A. E.S.P.,GRANDE,Trader con sobrecobertura de contratos,4,7.1181,100.0,182.07,0.0,0.0,0.0,-358.02,308.8
2026-01-01,ITLC,ITALCOL ENERGIA S.A. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.1372,100.0,403.46,0.0,100.0,1.0,-500,308.8
2026-01-01,LESC,MESSER ENERGY SERVICES SAS ESP,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0016,100.0,15592.06,0.0,0.0,0.0,-500,308.8
2026-01-01,NEUC,NEU ENERGY S.A.S E.S.P,MEDIANO,Comercializador regulado,2,1.3988,56.91,206.38,1.54,100.0,1.0,-457.24,308.7
2026-01-01,PEEC,PROFESIONALES EN ENERGIA S.A. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0004,100.0,126182.74,0.0,0.0,1.0,-500,308.8
2026-01-01,QIEC,QI ENERGY S.A.S. E.S.P.,MEDIANO,Comercializador regulado,2,0.549,6.78,285.56,0.0,81.9,1.0,-500,308.8
2026-01-01,RPEC,RIOPAILA ENERGÍA S.A.S. E.S.P.,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,0.1115,100.0,0.0,100.0,0.0,0.0,-23.93,290.7
2026-01-01,RTQC,RUITOQUE S.A. E.S.P.,MEDIANO,Comercializador regulado,2,0.6231,63.11,487.92,0.0,99.82,1.0,-500,308.8
2026-01-01,SCEC,SOL & CIELO ENERGIA S.A.S. E.S.P,PEQUEÑO,Trader no regulado,0,0.0249,22.61,403.84,30.14,0.0,0.0,-500,307.6
2026-01-01,SOEC,SOUTH32 ENERGY S.A.S E.S.P,MEDIANO,Trader con sobrecobertura de contratos,4,3.9832,100.0,102.69,0.0,0.0,0.0,-52.42,308.8
2026-01-01,TENC,TRANSACCIONES ENERGÉTICAS S.A.S. EMPRESA DE SERVICIOS PÚBLICOS E.S.P,MEDIANO,Comercializador regulado,2,0.9001,79.19,105.8,0.35,100.0,1.0,-65.67,308.8
2026-01-01,TPLC,TERPEL ENERGÍA S.A.S. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.1871,86.78,312.47,10.89,71.53,1.0,-500,308.2
2026-01-01,TRPC,TERMOPIEDRAS S.A. E.S.P.,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,0.0007,100.0,0.0,100.0,0.0,0.0,-23.93,290.7
2026-01-01,VESC,VOLTAJE EMPRESARIAL S.A.S. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0108,100.0,701.25,0.0,0.0,0.0,-500,308.8
2026-01-01,VICC,EMPRESA DE ENERGÍA ELÉCTRICA DEL DEPARTAMENTO DEL VICHADA,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,0.0079,0.0,0.0,100.0,0.0,0.0,-23.93,290.7
2026-01-02,ASCC,A.S.C. INGENIERIA S.A. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0915,37.87,100.0,0.0,0.0,1.0,-42.65,309.4
2026-01-02,BEIC,BEAM ENERGY INNOVATION S.A.S. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0257,70.54,391.81,0.0,0.0,0.0,-500,309.4
2026-01-02,BIAC,BIA ENERGY S.A.S. E.S.P,MEDIANO,Comercializador regulado,2,1.1165,42.16,97.41,13.57,100.0,1.0,-88.48,312.6
2026-01-02,CASC,EMPRESA DE ENERGIA DE CASANARE S.A. ESP,MEDIANO,Comercializador regulado,2,1.6293,0.32,78.48,21.62,93.3,1.0,-48.63,315.0
2026-01-02,CBNC,COLOMBINA ENERGIA SAS ESP,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0718,100.0,140.66,0.0,0.0,0.0,-199.39,309.4
2026-01-02,CDNC,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,MEDIANO,Comercializador regulado,2,2.2177,5.26,140.67,6.89,93.86,1.0,-227.77,310.6
2026-01-02,CEOC,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP,MEDIANO,Comercializador regulado,2,2.0974,10.85,96.19,8.83,92.11,1.0,-64.31,311.6
2026-01-02,CETC,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,MEDIANO,Comercializador regulado,2,0.5589,20.67,100.0,0.0,92.15,1.0,-42.65,309.4
2026-01-02,CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,MEDIANO,Comercializador regulado,2,2.8308,0.0,95.25,5.27,91.39,1.0,-46.02,310.8
2026-01-02,CHVC,AES COLOMBIA & CIA. S.C.A. E.S.P.,MEDIANO,Trader con sobrecobertura de contratos,4,0.9617,100.0,136.17,0.0,0.0,1.0,-182.09,309.4
2026-01-02,CMMC,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,GRANDE,Integrado/regional regulado,1,26.2591,9.16,97.85,3.78,90.65,1.0,-49.92,310.4
2026-01-02,CMXC,CEMEX ENERGY S.A.S E.S.P.,MEDIANO,Trader con sobrecobertura de contratos,4,0.6225,100.0,120.4,2.34,0.0,0.0,-130.92,309.9
