estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,estrategia,n_maestros,n_efectivo,codigos,mediana_relativa_top_cop_kwh,mediana_margen_absoluto_cop_kwh,p_valor_bootstrap,ratio_replicacion,dsr,pct_dias_gana_segmento,kill_switch_1_0,drawdown_max_cop_kwh,ev_historico_cop_kwh,ev_anio_nino_cop_kwh,supera_capacidad_1_0,capacidad_pct_segmento,mae_f1_promedio_pp,candidata_1_0,valida_cheap_1_0
2015-04-01,2015-06-29,2015-06-30,2015-07-06,PEQUEÑO,Trader no regulado,10,10,"TRMC,CCOC,PEEC,GSAC,ITLC,EFEC,CMXC,RQEC,ESPC,RTAC",-37.9,35.8,0.005,0.933,0.933,0.0,0,0.0,35.74,35.67,0,2.2,6.66,0,0
2015-04-01,2015-06-29,2015-06-30,2015-07-06,MEDIANO,Trader no regulado,5,2,"ENDC,GECC,ISGC,PRIC,CHVC",5.8,82.14,0.1493,0.976,0.937,100.0,0,0.0,82.3,82.5,0,2.7,0.0,0,0
2015-04-01,2015-06-29,2015-06-30,2015-07-06,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),2,2,"CTIC,HIMC",-23.04,44.6,0.2985,0.912,0.934,0.0,0,0.0,29.89,10.04,0,2.2,3.34,0,0
2015-05-01,2015-07-29,2015-07-30,2015-08-05,PEQUEÑO,Comercializador regulado,10,5,"ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CTIC,CQTC,ENIC,EMPC",13.03,80.54,0.005,0.962,1.0,85.7,0,0.0,80.87,81.31,0,2.7,0.0,1,1
2015-05-01,2015-07-29,2015-07-30,2015-08-05,MEDIANO,Comercializador regulado,10,8,"EPSC,ETTC,CNSC,HLAC,CHCC,EMSC,CDNC,EEPC,ESSC,EDQC",1.32,79.78,0.005,1.002,1.0,85.7,0,0.0,78.53,76.85,0,2.6,1.83,1,1
2015-05-01,2015-07-29,2015-07-30,2015-08-05,GRANDE,Comercializador regulado,3,1,"EPMC,CDSC,EDCC",0.0,79.84,0.005,1.007,1.0,42.9,0,0.0,78.36,76.37,1,31.9,0.87,0,0
2015-05-01,2015-07-29,2015-07-30,2015-08-05,PEQUEÑO,Trader no regulado,9,9,"TRMC,GSAC,PEEC,ITLC,CMXC,EFEC,RQEC,ESPC,RTAC",-64.37,7.23,0.005,0.784,1.0,0.0,0,0.0,6.44,5.37,0,2.7,6.85,0,0
2015-05-01,2015-07-29,2015-07-30,2015-08-05,MEDIANO,Trader no regulado,6,3,"ENDC,GECC,ISGC,PRIC,CHVC,CCOC",6.92,80.54,0.0149,0.962,1.0,85.7,0,0.0,80.87,81.31,0,2.6,0.0,1,1
2015-05-01,2015-07-29,2015-07-30,2015-08-05,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),2,2,"CTIC,HIMC",-29.94,66.2,0.0846,1.774,0.995,14.3,0,0.0,49.19,26.24,0,2.7,3.19,0,0
2015-05-31,2015-08-28,2015-08-29,2015-09-04,PEQUEÑO,Comercializador regulado,10,5,"ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CQTC,ENIC,EGVC,EDPC",10.4,79.29,0.005,0.965,1.0,100.0,0,0.0,79.75,80.37,0,2.4,0.0,1,1
2015-05-31,2015-08-28,2015-08-29,2015-09-04,MEDIANO,Comercializador regulado,10,9,"EPSC,ETTC,CNSC,HLAC,EEPC,CHCC,EMSC,CDNC,EECC,EBSC",1.59,76.07,0.005,0.957,1.0,85.7,0,0.0,75.78,75.39,0,2.8,1.53,1,1
2015-05-31,2015-08-28,2015-08-29,2015-09-04,GRANDE,Comercializador regulado,3,1,"EPMC,CDSC,EDCC",0.0,75.67,0.005,0.958,1.0,57.1,0,0.0,75.2,74.57,1,31.7,1.1,0,0
2015-05-31,2015-08-28,2015-08-29,2015-09-04,PEQUEÑO,Trader no regulado,10,10,"TRMC,GSAC,CCOC,ITLC,PEEC,CMXC,EFEC,RQEC,ESPC,RTAC",-28.65,41.95,0.005,0.912,1.0,0.0,0,0.0,41.88,41.79,0,2.4,5.24,0,0
2015-05-31,2015-08-28,2015-08-29,2015-09-04,MEDIANO,Trader no regulado,5,2,"ENDC,GECC,ISGC,PRIC,CHVC",5.23,79.29,0.2139,0.965,1.0,100.0,0,0.0,79.75,80.37,0,2.8,0.0,0,0
2015-05-31,2015-08-28,2015-08-29,2015-09-04,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),2,2,"CTIC,HIMC",-26.19,39.91,0.3781,0.917,0.992,0.0,0,0.52,25.7,6.52,0,2.4,12.67,0,0
2015-06-30,2015-09-27,2015-09-28,2015-10-04,PEQUEÑO,Comercializador regulado,10,4,"ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CTIC,CQTC,ENIC,EDPC",13.22,71.64,0.005,0.891,0.983,100.0,0,0.0,72.91,74.62,0,2.4,0.0,1,1
2015-06-30,2015-09-27,2015-09-28,2015-10-04,MEDIANO,Comercializador regulado,10,2,"EPSC,ETTC,CNSC,HLAC,CHCC,EEPC,CDNC,EMSC,ESSC,EBSC",1.63,17.65,0.005,0.231,0.245,100.0,0,32.53,22.5,29.03,0,2.8,1.45,0,0
2015-06-30,2015-09-27,2015-09-28,2015-10-04,GRANDE,Comercializador regulado,3,1,"EPMC,CDSC,EDCC",0.0,33.26,0.005,0.437,0.997,100.0,0,0.0,37.04,42.15,1,31.9,0.53,0,0
2015-06-30,2015-09-27,2015-09-28,2015-10-04,PEQUEÑO,Trader no regulado,10,10,"TRMC,GSAC,CCOC,ITLC,PEEC,CMXC,EFEC,RQEC,ESPC,RTAC",-27.47,2.22,0.005,0.049,0.221,100.0,0,8.79,5.48,9.89,0,2.4,5.43,0,0
2015-06-30,2015-09-27,2015-09-28,2015-10-04,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),2,2,"CTIC,HIMC",-29.35,-428.87,0.0348,-13.377,0.0,0.0,1,3395.1,-393.2,-345.07,0,2.4,24.26,0,0
2015-06-30,2015-09-27,2015-09-28,2015-10-04,MEDIANO,Trader no regulado,5,2,"ENDC,GECC,ISGC,PRIC,CHVC",6.74,71.64,0.1741,0.891,0.996,100.0,0,0.0,72.91,74.62,0,2.8,0.0,0,0
2015-07-30,2015-10-27,2015-10-28,2015-11-03,PEQUEÑO,Comercializador regulado,10,3,"CTIC,ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CQTC,ENIC,EDPC",19.46,74.81,0.005,0.949,1.0,100.0,0,0.0,75.44,76.29,0,2.4,0.0,1,1
2015-07-30,2015-10-27,2015-10-28,2015-11-03,MEDIANO,Comercializador regulado,10,1,"EPSC,ETTC,CHCC,CNSC,HLAC,EEPC,CDNC,EMSC,ESSC,EECC",1.94,14.71,0.005,0.205,0.947,57.1,0,0.0,19.62,26.25,0,2.7,3.08,0,0
2015-07-30,2015-10-27,2015-10-28,2015-11-03,GRANDE,Comercializador regulado,3,1,"EPMC,CDSC,EDCC",0.0,27.67,0.005,0.39,0.991,42.9,0,0.0,31.79,37.35,1,31.8,1.59,0,0
2015-07-30,2015-10-27,2015-10-28,2015-11-03,PEQUEÑO,Trader no regulado,10,6,"TRMC,GSAC,CCOC,ITLC,PEEC,CMXC,EFEC,RQEC,ESPC,RTAC",-17.02,16.73,0.005,0.386,0.993,85.7,0,0.0,18.08,19.91,0,2.4,7.85,0,0
2015-07-30,2015-10-27,2015-10-28,2015-11-03,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,2,"CTIC,HIMC,DLRC",-62.34,-534.33,0.005,17811.0,0.0,0.0,1,3758.47,-487.29,-423.81,0,2.4,0.0,0,0
