estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,arquetipo_ganador,n_arquetipos,n_efectivo,codigos_arquetipos,p_valor_bootstrap_arquetipo,ratio_replicacion,dsr,holdout_pct,pct_dias_gana_segmento,kill_switch_1_0,ev_historico_cop_kwh,supera_capacidad_1_0,mae_f1_promedio_pp,candidata_1_0,valida_cheap_1_0
2015-04-01,2015-06-29,2015-06-30,2015-07-06,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado,Comercializador regulado",1.0,0.972,1.0,,0.0,0,75.83,1,,0,0
2015-05-01,2015-07-29,2015-07-30,2015-08-05,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Comercializador regulado,Trader no regulado",0.005,0.962,0.96,,71.4,0,80.87,0,,0,0
2015-05-01,2015-07-29,2015-07-30,2015-08-05,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,0.962,0.871,,71.4,0,80.87,0,,0,0
2015-05-01,2015-07-29,2015-07-30,2015-08-05,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado,Comercializador regulado",1.0,1.007,1.0,,42.9,0,78.36,1,,0,0
2015-05-31,2015-08-28,2015-08-29,2015-09-04,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Trader no regulado",0.005,0.965,1.0,,100.0,0,79.75,0,,0,0
2015-05-31,2015-08-28,2015-08-29,2015-09-04,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,0.965,1.0,,100.0,0,79.75,0,,1,1
2015-05-31,2015-08-28,2015-08-29,2015-09-04,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,0.958,1.0,,57.1,0,75.2,1,,0,0
2015-06-30,2015-09-27,2015-09-28,2015-10-04,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Comercializador regulado,Trader no regulado,Trader no regulado,Trader no regulado",0.005,0.891,1.0,,100.0,0,72.91,0,,0,0
2015-06-30,2015-09-27,2015-09-28,2015-10-04,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,0.891,0.998,,100.0,0,72.91,0,,1,1
2015-06-30,2015-09-27,2015-09-28,2015-10-04,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado",1.0,0.437,1.0,,100.0,0,37.04,1,,0,0
2015-07-30,2015-10-27,2015-10-28,2015-11-03,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Comercializador regulado,Trader no regulado,Trader no regulado,Trader no regulado",0.005,0.95,1.0,,100.0,0,75.44,0,,0,0
2015-07-30,2015-10-27,2015-10-28,2015-11-03,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,0.95,1.0,,100.0,0,75.44,0,,1,1
2015-07-30,2015-10-27,2015-10-28,2015-11-03,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado",1.0,0.39,1.0,,42.9,0,31.79,1,,0,0
2015-08-29,2015-11-26,2015-11-27,2015-12-03,MEDIANO,Trader no regulado,2,2,"Trader no regulado,Trader no regulado,Trader no regulado,Trader no regulado",0.005,0.966,1.0,,100.0,0,73.08,0,,0,0
2015-08-29,2015-11-26,2015-11-27,2015-12-03,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado",0.005,0.966,1.0,,100.0,0,73.08,0,,1,1
2015-08-29,2015-11-26,2015-11-27,2015-12-03,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado",1.0,0.856,1.0,,57.1,0,29.61,1,,0,0
2015-09-28,2015-12-26,2015-12-27,2016-01-02,MEDIANO,Trader no regulado,2,2,"Trader no regulado,Trader no regulado,Trader no regulado",0.005,0.997,1.0,,100.0,0,72.19,0,,0,0
2015-09-28,2015-12-26,2015-12-27,2016-01-02,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Comercializador regulado,Comercializador regulado",0.005,0.997,1.0,,100.0,0,72.19,0,,1,1
2015-09-28,2015-12-26,2015-12-27,2016-01-02,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado,Comercializador regulado",1.0,2.264,1.0,,71.4,0,61.72,1,,0,0
2015-10-28,2016-01-25,2016-01-26,2016-02-01,MEDIANO,Trader no regulado,3,3,"Trader no regulado,Trader no regulado,Trader no regulado",0.005,1.015,0.974,,100.0,0,73.11,0,,1,1
