escenario,descripcion,precio_bolsa_cop_kwh,precio_contratos_cop_kwh,spread_cop_kwh,bin_spread,margen_cop_kwh,garantia_cop
escasez_umbral,Bolsa en el precio de escasez,906.1,323.9,582.2,cara,-639.6,61392699
escasez_extrema,Bolsa 25 % sobre el precio de escasez,1132.7,323.9,808.8,escasez,-866.22,76740874
