estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,arquetipo_ganador,n_arquetipos,n_efectivo,codigos_arquetipos,p_valor_bootstrap_arquetipo,ratio_replicacion,dsr,holdout_pct,pct_dias_gana_segmento,kill_switch_1_0,ev_historico_cop_kwh,supera_capacidad_1_0,mae_f1_promedio_pp,n1_completo_1_0,n2_1_0,valida_final_1_0,gates_detalle
2022-03-25,2022-06-22,2022-06-23,2022-06-29,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.001,1.026,0.987,100.0,100.0,0,55.91,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2017-01-20,2017-04-19,2017-04-20,2017-04-26,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.001,1.161,1.0,100.0,100.0,0,101.13,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2025-03-09,2025-06-06,2025-06-07,2025-06-13,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,"Trader expuesto a bolsa (sin cobertura),Trader expuesto a bolsa (sin cobertura)",0.001,1.16,0.981,100.0,100.0,0,39.69,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2025-02-07,2025-05-07,2025-05-08,2025-05-14,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Integrado/regional regulado,Integrado/regional regulado,Trader expuesto a bolsa (sin cobertura)",0.001,2.974,1.0,100.0,100.0,0,80.12,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2016-06-24,2016-09-21,2016-09-22,2016-09-28,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.001,1.346,0.968,100.0,85.7,0,98.5,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2021-06-28,2021-09-25,2021-09-26,2021-10-02,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,Trader expuesto a bolsa (sin cobertura),0.001,0.88,1.0,100.0,100.0,0,46.98,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2016-06-24,2016-09-21,2016-09-22,2016-09-28,MEDIANO,Trader expuesto a bolsa (sin cobertura),3,3,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.001,1.335,0.969,,85.7,0,97.58,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2016-12-21,2017-03-20,2017-03-21,2017-03-27,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.001,1.087,1.0,100.0,100.0,0,93.93,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2017-06-19,2017-09-16,2017-09-17,2017-09-23,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,Trader expuesto a bolsa (sin cobertura),0.001,0.757,1.0,100.0,100.0,0,74.5,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2017-08-18,2017-11-15,2017-11-16,2017-11-22,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.001,1.092,1.0,100.0,100.0,0,91.77,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
