metrica,valor
dias_impacto,7
demanda_dia_kwh,202942.0
mediana_margen_imitacion_cop_kwh,-419.05
media_margen_imitacion_cop_kwh,-438.59
mediana_margen_maestros_cop_kwh,-423.37
mediana_margen_segmento_cop_kwh,83.28
pct_dias_gana_a_maestros,20.0
pct_dias_gana_a_segmento,0.0
garantia_mediana_cop,34787208
garantia_max_cop,49226241
